stemword,times,origin words
initi,822,initial initiated initiation initially initiators initiates initiative initiatives initiating
therapi,822,therapy therapies
cell,821,cells
be,818,being beings
characterist,815,characteristics characteristically
polymeras,814,polymerase polymerases
analyz,813,analyzed analyzing analyzes analyzers
relat,809,relating related relation relates relations
aim,809,aimed aims aiming
mani,806,many
rang,804,ranged ranging ranges
worldwid,803,worldwide
need,802,needed needs needing
target,797,targets targeting targeted targetted targetting
revers,784,reverse reversible reversed reversibility reversion reversal
worker,774,workers
improv,772,improve improved improving improvement improves improvements
rate,771,rates rating ratings rated
group,764,groups grouped grouping groupings
critic,763,critically criticism criticized
sinc,756,since
isol,748,isolate isolation isolating isolated isolates isolations isolator
symptomat,746,symptomatic symptomatically
predict,743,predictive predicted prediction predicting predictions predicts predictability predictable
infecti,741,infectious infectiousness
variant,741,variants
person,736,personal persons personalized personally personals personalities personality
mutat,731,mutations mutates mutated mutational mutating mutationally
current,717,currently
suggest,712,suggested suggests suggesting suggestive suggestion suggestions
real-tim,692,real-time
overal,689,overall
highli,687,highly
drug,682,drugs
larg,677,large largely
combin,671,combination combining combined combines combinative combinations combinational combinent
recommend,669,recommended recommendations recommends recommending recommendable
implement,664,implementing implemented implementation implementations implements implementable
mechan,656,mechanical mechanisms mechanically mechanized mechanics
befor,656,before
regard,649,regarding regards regarded
pool,636,pooling pools pooled
continu,633,continues continued continuity continually continuously continuing continuation
correl,630,correlated correlation correlations correlating correlates correlative correlational
epidemiolog,630,epidemiology epidemiological epidemiologically
like,629,likely likes
futur,627,future futures
condit,626,conditions conditional conditionally conditioning conditioned
chang,626,changes changed changing
examin,624,examined examination examining examines examinations examiners
variou,622,various
epidem,618,epidemic epidemics
adult,617,adults
system,616,systems systemic systemically
death,613,deaths
diagnos,607,diagnose diagnosing diagnosed diagnoses
articl,602,article articles
decemb,601,december
multipl,600,multiple multiplicity multiplication multiplicative multiples
rapidli,597,rapidly
therefor,595,therefore
involv,588,involving involves involved involvement involvements
accept,587,acceptance accepted acceptable acceptability acceptably accepting acceptant acceptancy
virus,585,viruses
remain,584,remains remained remaining
model,583,models modeling modeled modelling modelled modelers modellers
resid,581,residents residing residence resides residences resided residency residencies
presenc,576,presence
protein,574,proteins
obtain,573,obtained obtaining obtainable obtainment obtains
practic,571,practice practical practicality practices practicalities practiced practicing practically practicability practicable
nation,568,national nations nationality nationals nationally nationalism nationalities
structur,568,structure structural structures structured structurally
intervent,567,interventions interventional
control,563,controlled controlling controls controllable
author,558,authorization authorized authorities authored authors authorizations authority authorizing
convalesc,557,convalescent convalescents convalescence convalescing
affect,555,affected affecting affects affective affection affectations
antivir,553,antiviral antivirals
subject,553,subjects subjective subjected subjecting
ani,552,any
bind,552,binding binds
discuss,552,discussed discusses discussion discussing discussions
exposur,549,exposure exposures
coronavirus,548,coronaviruses
hesit,548,hesitancy hesitant hesitate hesitated hesitation hesitance hesitators
understand,546,understanding understandings understandable understandably understands
candid,545,candidates
univers,543,university universities universal universally universalize universality
week,542,weeks
month,540,months
propos,536,proposed proposal proposes proposing proposals
select,532,selected selection selective selectivity selecting selectively selects
surveil,532,surveillance
becom,528,become becomes becoming
time,525,times timely timing timed
organ,523,organizations organs organized organisms organic organizers organizes organizing organics
unit,520,united units unites
valid,518,validated validation validity validations validating validates
analys,517,analyser analysed analyses analysing analysable
interv,516,interval intervals
histori,515,history histories
concern,513,concerning concerns concerned
primari,506,primary
knowledg,504,knowledge knowledgeable
technolog,503,technologies technology technological
ongo,500,ongoing
advers,498,adverse adversities adversely adversity
featur,498,features featured featuring
accuraci,496,accuracy accuracies
hcw,495,hcws
refer,491,reference referent referred refers references referring
decreas,487,decreased decreasing decreases
thu,479,thus
complet,479,completely completed completion completeness completing completer
especi,477,especially
statu,477,status
incid,475,incidence incident incidents incidences
extract,471,extraction extracts extracted extractions extracting extractable
complic,470,complications complicated complicates complicity complicating
optim,469,optimize optimized optimal optimization optimism optimizing optimally optimizes optimizations optimizer optimality
suspect,467,suspected suspects suspecting
approv,465,approved approval approvals approves
experi,463,experience experiments experiences experimenting
effici,458,efficient efficiency efficiently efficiencies
state,458,states stated stating
admiss,452,admissions
ill,449,illness illnesses
imag,448,imaging images imager imaged
reveal,445,revealed reveals revealing
repres,445,represents representing representative represented representativeness representatives
literatur,442,literature literatures
previou,440,previous
facil,438,facilities facility facile
intern,438,international internationally internal internalization internalized internally interns internalizing internalizes
rel,434,relatively relatives
approach,432,approaches approached approaching
variabl,432,variables variability variabilities variably
essenti,429,essential essentially essentials essentialism essentiality
distribut,429,distribution distributed distributions distributing
commerci,428,commercial commercially commercialization commercialized commercializing
interact,426,interaction interacts interactions interacting interacted interactive interactional
januari,425,january
accur,424,accurate accurately
confid,424,confidence confidently
manifest,424,manifestations manifested manifests manifesting
applic,422,application applications applicability applicable applicators
design,420,designs designed designated designing designating designation designer
proport,418,proportion proportions proportional proportionally
altern,417,alternative alternate alternatively alternatives alternation alternates alternations
achiev,414,achieve achieved achieving achievement achievable achieves achievements
age,413,ages aged aging ageing
despit,413,despite
effort,413,efforts
pathogen,411,pathogens pathogenicity
recent,409,recently
contribut,408,contribute contributed contributing contributes contributions
veri,408,very
relev,405,relevant relevance relevancy
summar,405,summarized summarization summarizes summarizing
capac,405,capacity capacities
quantit,404,quantitative quantitatively quantitation quantitate quantitated quantitativeness
introduct,402,introduction introductions
retrospect,402,retrospectively
monitor,401,monitoring monitored monitorization
procedur,401,procedures procedural
region,401,regions regional regione regionally
accord,400,according accordance
express,398,expression expressed expresses expressing expressivity expressive expressions
transcript,396,transcription transcripts transcriptional transcriptionally
cycl,395,cycle cycles cycling
util,395,utility utilizing utilized utilization utilizes utiles utilities
natur,389,natural nature naturally
review,389,reviewed reviewing reviews reviewers
administr,389,administration administrative administratively administrated administrators administrating
singl,389,single
reliabl,388,reliable reliability reliably
sar,388,sars
highlight,387,highlighted highlighting highlights
occur,384,occurred occurs occurring occured occuring
appli,382,applying applied applies
surfac,379,surface surfaces surfacing surfaced
durat,378,duration durations
previous,377,previously
replic,377,replication replicate replicating replicates replicated replicative replications replicable replicability
dose,375,doses dosing dosed
induc,375,induced induces inducing inducer inducible
seropreval,375,seroprevalence seroprevalance seroprevalences
respond,374,responds respondents responders responding responded
cours,374,course courses
epitop,373,epitope epitopes
institut,372,institution institute institutions institutes instituted institutional instituting
becaus,372,because
event,370,events
explor,367,explore exploring exploration explored explores explorations explorer
contain,365,containing containment contains contained containers containments
statist,363,statistical statistically statistics
purpos,363,purpose purposes purposively purposed purposefully purposing
promis,363,promise promising promises promised
product,360,production products productivity productive productively productions
character,358,characterized characterization characterizing characterizes characterizations characterics
issu,357,issues issued issuing
regress,356,regression regressions
vari,354,varying varied varies
amplif,354,amplification amplifications
polici,353,policies policy
materi,350,materials
probabl,349,probably probability probable probabilities
techniqu,348,techniques
comorbid,346,comorbidities comorbidity
establish,346,established establishments establishing establishes
consist,345,consistent consistently consisting consistence consisted consists consistency
intens,344,intensive intensity intense intensities intensively intensely intension
particularli,343,particularly
advanc,343,advances advancements advanced advancing
publish,343,published publishes publishers publishing
adjust,343,adjusted adjustment adjusting adjustments
identif,343,identification identifications
outbreak,343,outbreaks
sourc,341,source sources sourced sourcing
demograph,341,demographic demographics demographical demographically
success,338,successes successfully successive successively succession
concentr,337,concentrations concentrate concentrated concentrating concentrates
resourc,335,resource resources resourceful
databas,335,databases
systemat,334,systematic systematically systematize systematized
exist,333,existing exists existence existent existed
kit,332,kits
have,331,having
femal,330,female females
contact,328,contacts contacted contacting
nurs,328,nurses nursing
biolog,325,biologics biological biology biologically
appropri,323,appropriate appropriately appropriateness appropriated appropriation
februari,322,february
platform,322,platforms
guidelin,322,guideline guidelines
area,321,areas
scientif,319,scientific scientifically
tissu,319,tissue tissues
oper,317,operating operations operate operational operator operated operative operators operates operable operability operationally
consider,317,considerable considerations considerably considerate
govern,316,government governments governs governing governance governed
prospect,315,prospectively prospection prospects prospected
famili,315,families family familial
discharg,314,discharge discharges discharged discharging
inactiv,314,inactivated inactivation inactivates inactivators inactivating inactivations
anim,311,animal animals
treat,311,treating treated
live,311,lives living lived
quarantin,311,quarantine quarantined quarantining quarantines
routin,310,routine routinely routined routines
dynam,309,dynamic dynamics dynamical dynamically dynamism
fals,309,false falsely
enzym,308,enzymes
produc,308,producing produce produced producers produces producibility
enhanc,308,enhance enhancement enhanced enhancing enhancers enhances
depend,307,depended depending dependent dependency dependant depends dependence dependable dependently dependants dependencies
reduct,306,reduction reductions
intent,306,intentions intentioned intentionally
recov,305,recovered recovering recovers
lead,305,leading leads
mitig,303,mitigating mitigate mitigation mitigated mitigations mitigates mitigative
subsequ,303,subsequently
support,301,supporting supportive supports supported supporters
onlin,301,online
immunogen,301,immunogenicity immunogens
recipi,300,recipients
enabl,300,enable enabling enables enabled enablers
allow,299,allows allowed allowing allowance
antigen,299,antigenic antigens antigenicity antigenically
human,297,humans humanity humanized
seroposit,297,seropositive seropositivity seropositivities
attitud,296,attitudes
analyt,296,analytical analytics analytically analyte analytes
necessari,296,necessary
entri,296,entry entries
cross-sect,296,cross-sectional cross-sections
defin,295,defined defining defines
moder,293,moderate moderately moderation moderated moderating
type,293,types typing
profession,292,professionals professionally
depart,291,department departing departments
distanc,291,distancing distance distances
qualiti,290,quality qualities
servic,290,services serviced
global,290,globally globalization globalized
interpret,289,interpretation interpreted interpretative interpreting interpretations interpretability interpretive interpretable interpreter interpreters
record,288,records recorded recording recordings
tool,288,tools
admit,287,admitted admitting
deliveri,286,delivery deliveries
titer,284,titers
focus,284,focuses focusing focused
seriou,283,serious
work,280,working works worked
decis,280,decision decisions decisive decisively decisiveness
surgeri,280,surgery surgeries
carri,279,carried carry carrying carries
peptid,278,peptide peptides peptidic
reaction,278,reactions
uptak,276,uptake uptakes
healthi,276,healthy
daili,276,daily
genet,276,genetic genetically genetics
independ,276,independent independently independence
equip,275,equipment equipments equipped equipping
influenc,274,influenced influencing influences influencer influencers
moreov,273,moreover
facilit,273,facilitate facilitates facilitated facilitating facilitators
adapt,273,adaptive adapted adaptation adaptability adaptable adapts adaption adaptations adapting adaptiveness adapters adaptively
treatment,273,treatments
progress,271,progression progressively progressed progressing progresses
calcul,271,calculated calculator calculating calculations calculators calculable
term,270,termed terms
implic,270,implication implicated implications implicates implicating
comprehens,269,comprehensive comprehensively comprehension comprehensiveness comprehensions
educ,269,education educational educating educate educated educators
substanti,268,substantiated substantial substantially substantiates
questionnair,267,questionnaires
medicin,267,medicine medicines medicinal
comput,266,computed computational computer computationally computing
abil,266,abilities ability
center,265,centers centered centering
averag,265,average averaged averages averaging
furthermor,265,furthermore
minim,264,minimize minimizing minimizes minimal minimally minimized minimization
enrol,264,enrolled enrollment enrolling enrolment
inflammatori,262,inflammatory
student,261,students
odd,260,odds
pathogenesi,259,pathogenesis
versu,257,versus
cytokin,255,cytokine cytokines
major,254,majority majorities majors
situat,252,situations situational situated
frequenc,252,frequency frequencies
logist,251,logistic logistical logistics
suppli,251,supplies supply supplying supplied
appear,250,appearance appears appeared appearances appearing
citi,249,city cities
question,248,questions questioned questionable questioning
process,248,processed processing processes
consequ,248,consequences consequently
pulmonari,247,pulmonary
function,246,functions functional functionalized functionality functioning functionalizing functionally functionalization functionalities
manufactur,245,manufacturer manufacturers manufacturing manufactured manufacturability manufactures
focu,245,focus
mainli,245,mainly
donor,244,donors
econom,243,economic economical economization economics economically
member,243,members
persist,242,persistently persisting persistence persists persisted persistency
final,241,finally finalized
approxim,241,approximately approximated approximatively approximates approximation
point-of-car,241,point-of-care
ensur,240,ensure ensuring ensured ensures
vulner,240,vulnerable vulnerability vulnerabilities
lineag,240,lineages
suscept,239,susceptible susceptibility
toward,238,towards
protocol,237,protocols protocolized
scienc,236,sciences
circul,236,circulating circulation circulate circulated circulates
unpreced,236,unprecedented
pregnanc,234,pregnancy pregnancies
secondari,233,secondary
strain,233,strains strained straining
rais,233,raises raised raising
spread,231,spreading spreads spreaded
multivari,230,multivariable multivariate multivariant
gene,228,genes
wherea,228,whereas
underli,226,underlying underlie
site,224,sites sited
alreadi,224,already
uniqu,224,unique uniquely uniqueness
juli,224,july
cultur,223,culture cultures cultured culturally culturable culturing
neonat,223,neonates neonatal
suitabl,222,suitable suitability suitably
name,222,named namely naming names
roch,222,roche
research,221,researchers researching researches researched
ventil,221,ventilation ventilate ventilated ventilator ventilators
percentag,221,percentage percentages
prepar,220,preparing prepared preparation preparations prepares
offer,220,offers offering offered offerings
risk,219,risks risking risked
trace,219,tracing traced traces
employ,218,employed employing employment employs employer employers
paramet,218,parameters
humor,217,humoral
plan,217,planned plans planning
train,216,trained training trainings
expect,216,expected expectations expectancy expecting
agent,216,agents
underw,214,underwent
coverag,214,coverage coverages
learn,213,learning learned learnings
administ,213,administered administering administers
recoveri,213,recovery recoveries
willing,212,willingness
seri,212,series
wide,212,widely
integr,211,integrated integrity integration integrates integral integrative integrating integrities integrals
profil,211,profile profiles profiling profiled profiler
creat,211,creates created creating
absenc,210,absence absences
experienc,209,experiencing experienced
capabl,208,capable capabilities capability
simul,207,simulation simulate simulated simulations simulating simulants simulator simulates
morbid,207,morbidity morbidities
np,206,nps
extens,206,extensive extensively extension extensions extensiveness
perceiv,206,perceived perceiving perceives
serv,206,serve serves serving served
make,206,making makes
temperatur,205,temperature temperatures
crisi,204,crisis
compon,204,components
failur,204,failure failures
immunolog,204,immunological immunology immunologicals immunologically
standard,204,standardization standardize standardized standards standardizing
guid,204,guide guided guiding guides
pediatr,204,pediatric pediatrics
recruit,203,recruiting recruitment recruited recruits
solut,202,solutions solute
neurolog,202,neurological neurology
matern,201,maternal maternity maternities
start,201,starting started starts
qualit,201,qualitative qualitatively qualitive
patholog,200,pathology pathologies pathological pathologically
variat,200,variations
fulli,200,fully
die,199,died dying
experiment,198,experimentation experimental experimentally experimentations
advantag,197,advantage advantages advantageous advantaged
stabil,197,stability stabilized stabilization stabilizing stabilities
bodi,197,body bodies
provinc,197,province provinces
seroconvers,195,seroconversion seroconversions
divers,195,diverse diversity diversities diversion
concord,195,concordant concordances
damag,194,damage damaged damages damaging
number,194,numbers
percept,194,perception perceptions perceptibly perceptible
middl,194,middle
random,193,randomized randomization randomizing randomizes
baselin,192,baseline baselines
other,192,others
benefit,192,benefits benefitted benefiting benefited
attent,191,attention attentions
devic,191,device devices
reason,191,reasons reasonably reasonable reasoner reasoning reasoned
autom,190,automated automation automates automating
document,190,documentation documented documents documenting
tomographi,189,tomography tomographies
priorit,189,prioritization prioritized prioritizing prioritizes prioritizations
environ,189,environment environments
aspect,188,aspects
diabet,188,diabetes diabetic diabets
typic,188,typical typically
ethic,188,ethics ethical ethically
disord,186,disorders disordered
deriv,185,derived derivatives derives derivation deriving derivates
societi,185,society societies
declin,185,declined declines declining
detail,184,detailed details detailing
evolut,183,evolution evolutions evolutionally
restrict,182,restrictions restrictive restricted restricting restricts
sign,182,signs signed signing signes
declar,181,declared declaration declaring
reach,181,reaches reached reaching
evolv,181,evolving evolve evolved evolves evolvement
proteas,180,protease proteases
physic,180,physical physically
locat,179,locations located locating
expos,179,exposed exposing exposes
point,179,points pointing pointed
recombin,179,recombinant recombination
lesion,179,lesions lesional
impact,179,impacted impacts impacting impactful impaction
differenti,178,differentiate differentiating differential differentiation differentiated differentiates differentially differentials differentiable
itali,178,italy
large-scal,178,large-scale
summari,178,summary summaries
program,177,programs programming programing programmed
togeth,177,together
load,177,loads loading loaded
promot,177,promoting promotes promotion promoted promoter promotions promoters
simpl,177,simple
origin,176,original originated originally originating origine origins originates
directli,175,directly
suffici,175,sufficient sufficiently sufficiency
inhibit,175,inhibition inhibited inhibiting inhibits inhibitions
elev,174,elevated elevation elevations elevates elevating elevators
prioriti,174,priority priorities
shed,174,shedding sheds
address,174,addressing addressed addresses addressable
guidanc,173,guidance guidances
mask,173,masks masking masked
copi,172,copies copy
outpati,171,outpatients
angiotensin-convert,170,angiotensin-converting
fatal,170,fatality fatalities
frequent,170,frequently
reactiv,169,reactive reactivity reactivating reactivation reactivities reactively reactivated
pubm,169,pubmed
exclud,168,excluded excluding
stage,168,stages staging staged
pose,168,posed poses posing
immunosuppress,168,immunosuppressed immunosuppression immunosuppressive immunosuppressants
doe,168,does
everi,168,every
basi,168,basis
updat,168,updating update updated updates
call,167,calls called calling
oropharyng,167,oropharyngeal
membran,167,membrane membranes membranous membraned
acceler,166,accelerate accelerated accelerating accelerates accelerator acceleration
injuri,166,injury injuries
releas,166,released releasing releases
immedi,165,immediately
introduc,165,introduced introducing introduces
particl,165,particle particles
adopt,165,adopted adopting adoption adopts adoptive
insight,163,insights insightful
newli,163,newly
delay,162,delays delayed delaying delayers
repurpos,162,repurposing repurposed repurposable
abl,162,able
methodolog,162,methodology methodologies methodological
fatigu,162,fatigue
search,161,searches searched searching
anoth,161,another
inhibitor,161,inhibitors
inject,161,injections injected injecting injectable
lymphocyt,161,lymphocyte lymphocytes lymphocytic
clinician,161,clinicians
septemb,160,september
abnorm,159,abnormalities abnormality
molecul,159,molecules
predictor,159,predictors
recogn,159,recognized recognizing recognizes
perspect,159,perspective perspectives
modifi,158,modified modify modifiable modifying modifies
link,158,linked links linking
surgic,157,surgical surgically
elig,157,eligible eligibility eligibilities
regist,157,registered registers registering
help,157,helpful helps helping helped
option,156,options optional
prefer,156,preferred preference preferences preferably preferable preferring
begin,156,begins beginning
gastrointestin,156,gastrointestinal
adequ,156,adequate adequately
physician,156,physicians
curv,156,curves
exhibit,155,exhibiting exhibited exhibits
rout,154,route routes routing
novemb,154,november
repeat,154,repeated repeating repeatability repeats repeatable
littl,153,little
environment,153,environmental
opportun,152,opportunities opportunity
cluster,152,clustering clusters clustered
pattern,151,patterns patterned
access,151,accessibility accessible accesses accessed accessing accessioning
collabor,151,collaborative collaborate collaboration collaborations collaboratively collaborator collaborators collaborated collaborating
immunoassay,151,immunoassays
pathway,151,pathways
urgent,151,urgently
commonli,150,commonly
geograph,148,geographical geographically
contamin,148,contamination contaminants contaminated contaminations
share,148,sharing shares shared
inpati,147,inpatients
pair,147,paired pairs pairing
quantifi,147,quantify quantified quantifies quantifying quantifiable
regul,146,regulators regulations regulated regulating regulates
definit,146,definitive definition definitely definitions definitively
descript,146,descriptive description descriptions descriptively
correspond,146,corresponding correspondent correspondence corresponded correspondences corresponds
electron,145,electronic electronics electronically
hundr,145,hundred hundreds
quickli,145,quickly
take,144,taking takes
survey,143,surveys surveyed
cross-react,143,cross-reactivity cross-reactions cross-reactive cross-reacted cross-reactivities cross-reacting
deploy,143,deployed deployment deploying deployable deployments
prolong,142,prolongation prolonged prolonging prolongs
dilut,142,dilution dilutions diluted dilutional diluting
titr,141,titres
formul,141,formulation formulating formulated formulations formulates
classifi,140,classified classify classifier classifying classifiers classifies
numer,140,numerous numeric numerical numerically
conserv,140,conserved conservation conservative conserving conservancy conservatively
later,140,lateral laterality
consecut,140,consecutive consecutively
isotherm,140,isothermal isothermally
cumul,140,cumulative cumulatively
mediat,140,mediating mediated mediators mediates mediation
false-neg,139,false-negative false-negatives
properti,139,properties property
million,139,millions
receptor-bind,139,receptor-binding
reagent,139,reagents
face,139,faces faced facing
form,139,forms forming formed
chines,139,chinese
fund,138,funding funded funds
transcription-polymeras,138,transcription-polymerase
mean,138,means meaning
monoclon,138,monoclonal
awar,138,aware awareness
wastewat,137,wastewater wastewaters
elderli,137,elderly
surviv,137,survived survival surviving survivability
discoveri,136,discovery discoveries
alloc,136,allocation allocated allocative allocating allocations
inclus,136,inclusion inclusivity inclusive inclusions
dysfunct,135,dysfunction dysfunctions dysfunctional
hypertens,135,hypertension hypertensive
reinfect,135,reinfected reinfection reinfections
innat,135,innate
radiolog,135,radiological radiology radiologically
contagi,134,contagious contagiousness
adjuv,134,adjuvants adjuvanted adjuvancy adjuvanting
economi,134,economy economies
becam,133,became
headach,133,headache headaches
reli,133,relies rely relied relying
care,133,careful carefully cares cared caring
offici,133,officials officially
elicit,132,elicited eliciting elicits elicitation
tradit,132,traditional traditions traditionally
precis,132,precisely precision
behavior,132,behaviors behavioral
believ,132,believe believed believing believes
degre,132,degrees
cohort,132,cohorting cohorts cohorted
hour,132,hours
scientist,132,scientists
transplant,131,transplantation transplanted transplants transplantations
overcom,131,overcome overcoming overcomes
dissemin,131,disseminate disseminates disseminated dissemination disseminating
convent,131,conventional conventionally
covid-19-rel,130,covid-19-related
score,130,scores scoring scored
centr,130,centres centred
compound,130,compounds compounded compounding
male,129,males
inflamm,129,inflammation inflammations
acquir,129,acquire acquired acquiring acquires
octob,129,october
seem,129,seems seemed seeming
separ,129,separate separated separately separation separating separable
play,129,plays playing played
transcriptas,128,transcriptase
heterogen,128,heterogeneity heterogeneous heterogenous heterogeneously heterogenicity heterogeneities
abov,128,above
regulatori,128,regulatory
barrier,128,barriers
employe,128,employees
simultan,128,simultaneously
dri,127,dry dried drying
digit,126,digital digitally digits digitized
compris,126,comprised comprising comprises
innov,125,innovate innovative innovation innovatively innovations innovated innovating
mer,125,mers
stabl,124,stable
undergo,124,undergoing undergoes
will,124,willing
parent,124,parents parental parenting
volum,123,volumes
deliv,123,deliver delivered delivers delivering
residu,123,residual residues residuals
direct,122,directions directed directional directives directs directing
home,121,homes homing
longitudin,121,longitudinal longitudinally
grow,121,growing grows
strongli,121,strongly
close,120,closely closing closed closeness
transfus,120,transfusion transfusing transfused transfusions
transmit,120,transmitted transmits transmitting
travel,120,travellers traveling travelers traveled travels travelling travelled
reproduct,120,reproduction reproductive reproductions
attribut,119,attributed attributes attributable attributing attributions
principl,119,principle principles
opac,119,opacity opacities
alon,119,alone
visit,119,visiting visited visits visitation
public,119,publication publicized publications publically
period,119,periods periodically periodicals
programm,119,programme programmes programmable programmability
uncertainti,119,uncertainty uncertainties
shortag,118,shortages
alter,118,altered alterations altering alters
consensu,118,consensus
henc,118,hence
maintain,118,maintaining maintained maintains
cost,118,costs costing costed
thrombosi,118,thrombosis
primarili,117,primarily
trend,116,trends trending trended
encourag,115,encouraged encouraging encouragement encourages
fluoresc,115,fluorescence fluorescent fluorescently
assign,115,assigned assignment assigning assignments
tertiari,115,tertiary
phylogenet,115,phylogenetic phylogenetics phylogenetically
scenario,115,scenarios
yield,113,yielding yielded yields
cover,113,covered covering covers coverings
discov,113,discovered discovering discovers
schedul,113,schedules scheduled scheduling
bia,113,bias
conclud,113,conclude concludes concluding concluded
season,112,seasonal seasons seasonality
mobil,112,mobility mobilized mobile mobilities mobilization mobilizing
warrant,112,warrants warranted warranting
europ,112,europe
feasibl,112,feasible feasibility feasibly
school,111,schools schooling
assum,111,assumed assuming assumable assumes
clearanc,110,clearance
emphas,110,emphasized emphasizing emphasizes emphases
mostli,110,mostly
campaign,110,campaigns campaigning
excel,110,excellent excellence
receptor,110,receptors
importantli,109,importantly
varieti,109,variety varieties
modul,109,modulating module modulators modulate modulates modules modulation modulated
preliminari,109,preliminary
