stemword,origin words
healthcar,healthcare
facil,facilities facility facile
medic,medical medications medically
infrastructur,infrastructure infrastructures
commun,community communities communication communicated communal communicators communicating communications
face,faces faced facing
call,calls called calling
develop,development developing developed developments developability develops developers
diagnost,diagnostic diagnostics diagnostically
tool,tools
effect,effective effectiveness effects effectively effected
protocol,protocols protocolized
importantli,importantly
pool,pooling pools pooled
togeth,together
expertis,expertise
domain,domains
innov,innovate innovative innovation innovatively innovations innovated innovating
solut,solutions solute
requir,requirements requiring required requires
detail,detailed details detailing
account,accounts accounting accounted accountable accountability
lead,leading leads
effort,efforts
therapeut,therapeutic therapeutics therapeutically
agent,agents
candid,candidates
multidisciplinari,multidisciplinary
perspect,perspective perspectives
convent,conventional conventionally
serolog,serology serological serologically serologies
cutting-edg,cutting-edge
technolog,technologies technology technological
crispr/ca,crispr/cas
intelligence/machin,intelligence/machine
learn,learning learned learnings
employ,employed employing employment employs employer employers
guid,guide guided guiding guides
investig,investigations investigate investigated investigational investigator investigates investigating investigators investigative
narr,narrative narratively narratives
serv,serve serves serving served
audienc,audience
activ,active activity activated actively activities activation activating activators activates
aspir,aspiring aspirates aspirated aspiration aspirations aspirant
research,researchers researching researches researched
biomed,biomedical
scienc,sciences
engin,engineering engineered engines engineers
inspir,inspire inspired inspiration inspiring
radic,radical radicals radically
approach,approaches approached approaching
toward,towards
prevent,prevention preventing preventive prevents prevented preventative preventable preventions
object,objective objectives objects objectively objection objections
concern,concerning concerns concerned
absenc,absence absences
treatment/vaccin,treatment/vaccines
appropri,appropriate appropriately appropriateness appropriated appropriation
quarantin,quarantine quarantined quarantining quarantines
peopl,people peoples
isol,isolate isolation isolating isolated isolates isolations isolator
symptomat,symptomatic symptomatically
consid,considered considering considers
definit,definitive definition definitely definitions definitively
limit,limited limitations limits limiting
suppli,supplies supply supplying supplied
set,settings sets
comput,computed computational computer computationally computing
tomographi,tomography tomographies
report,reported reports reporting reporter reporters
import,important importance imported importation importing imports importations
earli,early
scan,scans scanning scanned
initi,initial initiated initiation initially initiators initiates initiative initiatives initiating
help,helpful helps helping helped
rectifi,rectifying
radiologist,radiologists
differenti,differentiate differentiating differential differentiation differentiated differentiates differentially differentials differentiable
power,powerful powered powers
suffici,sufficient sufficiently sufficiency
alon,alone
implic,implication implicated implications implicates implicating
practic,practice practical practicality practices practicalities practiced practicing practically practicability practicable
increas,increase increasing increased increases increasement
improv,improve improved improving improvement improves improvements
efficaci,efficacy efficacious efficacies
achiev,achieve achieved achieving achievement achievable achieves achievements
caus,caused causing causative causes
capabl,capable capabilities capability
human,humans humanity humanized
sinc,since
it,its
appear,appearance appears appeared appearances appearing
rapidli,rapidly
despit,despite
consider,considerable considerations considerably considerate
viru,virus
preval,prevalence prevalences prevalent prevalance
mani,many
countri,countries country
vari,varying varied varies
degre,degrees
collabor,collaborative collaborate collaboration collaborations collaboratively collaborator collaborators collaborated collaborating
involv,involving involves involved involvement involvements
surveil,surveillance
prophylaxi,prophylaxis
essenti,essential essentially essentials essentialism essentiality
howev,however
use,using used useful usefulness uses usefully
play,plays playing played
applic,application applications applicability applicable applicators
bedsid,bedside
becaus,because
technic,technical technically
complex,complexity complexities complexes complexation complexing complexed
assay,assays assayed assaying
facilit,facilitate facilitates facilitated facilitating facilitators
outsid,outside
central,centralized centrally
acceler,accelerate accelerated accelerating accelerates accelerator acceleration
decis,decision decisions decisive decisively decisiveness
make,making makes
differ,different difference differences differs differed differing differently
acid-bas,acid-based
techniqu,techniques
point,points pointing pointed
base,based bases basing
purpos,purpose purposes purposively purposed purposefully purposing
effici,efficient efficiency efficiently efficiencies
previou,previous
assess,assessed assessment assessing assessments assesses assessable assessement
conduct,conducted conducting conductivity conduction conducts conductance
devic,device devices
attend,attending attended attendant attendance attendances attendants
primari,primary
centr,centres centred
immedi,immediately
follow,following followed follows followers
manufactur,manufacturer manufacturers manufacturing manufactured manufacturability manufactures
instruct,instructions instructed instructive
read,reading reads readings
rt-pcr,rt-pcrs
collect,collection collected collections collecting collective collectively collectives
display,displaying displayed displays
discord,discordant discordances
process,processed processing processes
cultur,culture cultures cultured culturally culturable culturing
cell,cells
presenc,presence
confirm,confirmed confirmation confirms confirming confirmative confirmations confirmers
overal,overall
take,taking takes
refer,reference referent referred refers references referring
predict,predictive predicted prediction predicting predictions predicts predictability predictable
valu,value values valued
estim,estimated estimation estimates estimating estimations estimer estimator
yield,yielding yielded yields
crucial,crucially
suggest,suggested suggests suggesting suggestive suggestion suggestions
unlik,unlikely unlikelys
infecti,infectious infectiousness
ongo,ongoing
seriou,serious
million,millions
grow,growing grows
approv,approved approval approvals approves
drug,drugs
attempt,attempts attempted attempting
trial,trials trialed
combin,combination combining combined combines combinative combinations combinational combinent
focus,focuses focusing focused
summar,summarized summarization summarizes summarizing
antibodi,antibody antibodies
treatment,treatments
convalesc,convalescent convalescents convalescence convalescing
current,currently
extens,extensive extensively extension extensions extensiveness
nanoparticle-bas,nanoparticle-based
summari,summary summaries
futur,future futures
12-month,12-months
center,centers centered centering
mitig,mitigating mitigate mitigation mitigated mitigations mitigates mitigative
exist,existing exists existence existent existed
relationship,relationships
establish,established establishments establishing establishes
academ,academic academics academically
weekli,weekly
confer,conference confers conferring conferred conferences
dissemin,disseminate disseminates disseminated dissemination disseminating
leader,leaders
struggl,struggles struggling struggled
success,successes successfully successive successively succession
abl,able
intim,intimate intimately
faith-bas,faith-based
organ,organizations organs organized organisms organic organizers organizes organizing organics
wherebi,whereby
emphas,emphasized emphasizing emphasizes emphases
plan,planned plans planning
undertak,undertake undertaking
emphasi,emphasis
institut,institution institute institutions institutes instituted institutional instituting
variou,various
meet,meetings meets
titl,titled titles
congreg,congregational congregations congregate congregant
convers,conversations conversion conversely conversions conversational
synagogu,synagogues
islam,islamic
masjid,masjids
describ,describe described describes describing
covid-19-rel,covid-19-related
theme,themes themed
prepar,preparing prepared preparation preparations prepares
build,buildings builds
region,regions regional regione regionally
site,sites sited
medical-religi,medical-religious
feasibl,feasible feasibility feasibly
valuabl,valuable
warrant,warrants warranted warranting
dispar,disparities disparate disparity
end,ending ended ends
complet,completely completed completion completeness completing completer
econom,economic economical economization economics economically
larg,large largely
ident,identical identity identities identically
commerci,commercial commercially commercialization commercialized commercializing
immunoassay,immunoassays
itali,italy
elecsi,elecsys
roch,roche
siemen,siemens
germani,germany
deriv,derived derivatives derives derivation deriving derivates
pre-pandem,pre-pandemic
laboratory-confirm,laboratory-confirmed
receiv,receiver received receiving receives receivers
oper,operating operations operate operational operator operated operative operators operates operable operability operationally
curv,curves
threshold,thresholds
optimis,optimised optimisation optimising
interpret,interpretation interpreted interpretative interpreting interpretations interpretability interpretive interpretable interpreter interpreters
wide,widely
scalabl,scalable scalability
metric,metrics
enabl,enable enabling enables enabled enablers
refin,refinements refined refining
strategi,strategies strategy
resourc,resource resources resourceful
popul,population populations populated populous populism
fund,funding funded funds
nation,national nations nationality nationals nationally nationalism nationalities
procedur,procedures procedural
pcr-base,pcr-based
altern,alternative alternate alternatively alternatives alternation alternates alternations
therebi,thereby
address,addressing addressed addresses addressable
cost-effect,cost-effective cost-effectiveness cost-effectively
multipl,multiple multiplicity multiplication multiplicative multiples
type,types typing
special,specialized specially specializing specialities
equip,equipment equipments equipped equipping
function,functions functional functionalized functionality functioning functionalizing functionally functionalization functionalities
sequence-specif,sequence-specific
rna-sens,rna-sensing
recent,recently
har,harnessed harnessing harnesses
simplifi,simplified simplify simplifying simplifies
flexibl,flexible flexibility flexibly
format,formats formation formatting
recapitul,recapitulates recapitulated recapitulating
advanc,advances advancements advanced advancing
crispr-cas13-bas,crispr-cas13-based
opportun,opportunities opportunity
implement,implementing implemented implementation implementations implements implementable
platform,platforms
analyz,analyzed analyzing analyzes analyzers
fifty-thre,fifty-three
sar,sars
kit,kits
juli,july
automat,automatic automatable automatically
analys,analyser analysed analyses analysing analysable
electrochemiluminesc,electrochemiluminescence electrochemiluminescent
principl,principle principles
equivoc,equivocal
reactiv,reactive reactivity reactivating reactivation reactivities reactively reactivated
non-react,non-reactive
moreov,moreover
dri,dry dried drying
themselv,themselves
word,words wording
introduct,introduction introductions
identif,identification identifications
accuraci,accuracy accuracies
emerg,emerged emergent emergency emerging emergently emergence emerges emergencies
particularli,particularly
treatment.area,treatment.areas
cover,covered covering covers coverings
explor,explore exploring exploration explored explores explorations explorer
reason,reasons reasonably reasonable reasoner reasoning reasoned
false-posit,false-positive false-positives
false-neg,false-negative false-negatives
comorbid,comorbidities comorbidity
highlight,highlighted highlighting highlights
algorithm,algorithms algorithmic
thoroughli,thoroughly
capac,capacity capacities
everi,every
minim,minimize minimizing minimizes minimal minimally minimized minimization
autom,automated automation automates automating
enhanc,enhance enhancement enhanced enhancing enhancers enhances
immun,immunization immune immunity immunized immunizations immunizing immunities
impair,impairs impaired impairment impairing impairments
util,utility utilizing utilized utilization utilizes utiles utilities
avenu,avenues
tissu,tissue tissues
innat,innate
respons,responses responsible responsibility responsable responsive responsiveness responsibly responsibilities
promis,promise promising promises promised
optim,optimize optimized optimal optimization optimism optimizing optimally optimizes optimizations optimizer optimality
recruit,recruiting recruitment recruited recruits
consequ,consequences consequently
descend,descendants descending
articl,article articles
profil,profile profiles profiling profiled profiler
preliminari,preliminary
particip,participants participated participation participating participates
subcohort,subcohorts
give,giving gives
retrospect,retrospectively
expos,exposed exposing exposes
onli,only
trimest,trimester trimesters
pregnanc,pregnancy pregnancies
prospect,prospectively prospection prospects prospected
anytim,anytime
neonat,neonates neonatal
immunochemoluminisc,immunochemoluminiscency
octob,october
deliveri,delivery deliveries
expect,expected expectations expectancy expecting
electron,electronic electronics electronically
record,records recorded recording recordings
divid,divided dividing
group,groups grouped grouping groupings
product,production products productivity productive productively productions
year,years
die,died dying
discharg,discharge discharges discharged discharging
sixty-f,sixty-five
count,counts counting counted
produc,producing produce produced producers produces producibility
non-produc,non-producing
signific,significant significance
disappear,disappeared disappearance
month,months
lymphocyt,lymphocyte lymphocytes lymphocytic
c-reactiv,c-reactive
lactat,lactate lactating lactated lactation
dehydrogenas,dehydrogenase
alanin,alanine
aminotransferas,aminotransferase aminotransferases
creatinin,creatinine
level,levels levelled
recoveri,recovery recoveries
sars-cov-2.som,sars-cov-2.some
ready-to-us,ready-to-use
transcriptas,transcriptase
fulli,fully
valid,validated validation validity validations validating validates
exclus,exclusivity exclusive exclusion exclusively exclusions
publish,published publishes publishers publishing
design,designs designed designated designing designating designation designer
sequenc,sequence sequencing sequences sequenced sequencer
align,alignments aligned aligns aligning
independ,independent independently independence
carlo,carlos
colindal,colindale
gp,gps
pass,passed passes passing
paramet,parameters
accept,acceptance accepted acceptable acceptability acceptably accepting acceptant acceptancy
correl,correlated correlation correlations correlating correlates correlative correlational
analyt,analytical analytics analytically analyte analytes
statu,status
coronavirus,coronaviruses
highli,highly
repres,represents representing representative represented representativeness representatives
declar,declared declaration declaring
becom,become becomes becoming
loop-medi,loop-mediated
isotherm,isothermal isothermally
amplif,amplification amplifications
advantag,advantage advantages advantageous advantaged
allow,allows allowed allowing allowance
easi,easy easiness
contamin,contamination contaminants contaminated contaminations
microfluid,microfluidic microfluidics
have,having
point-of-car,point-of-care
polystyrene-ton,polystyrene-toner
centrifug,centrifugal centrifugation centrifuged
manual,manually
control,controlled controlling controls controllable
integr,integrated integrity integration integrates integral integrative integrating integrities integrals
colorimetr,colorimetric
microchamb,microchamber
thermal,thermally
incub,incubation incubating incubated
amplifi,amplified amplify amplifying amplifiers amplifiable amplifies
fragment,fragments fragmented fragmentation
directli,directly
demonstr,demonstrate demonstrating demonstrated demonstration demonstrates demonstrably demonstrable
possibl,possible possibly possibility possibilities possiblity
reaction,reactions
approxim,approximately approximated approximatively approximates approximation
copi,copies copy
methodolog,methodology methodologies methodological
dispos,disposable disposing disposal disposed
microdevic,microdevice
system,systems systemic systemically
numer,numerous numeric numerical numerically
determin,determined determination determining determinant determinants determinations determines determinate
understand,understanding understandings understandable understandably understands
suitabl,suitable suitability suitably
information-depend,information-dependent
transmiss,transmission transmissible transmissibility transmissions transmissive transmissivity
sequenti,sequential sequentially
maxim,maximize maximizing maximal maximizes maximized maximization
save,savings saved saves
halv,halving halved halves
gener,generalized generated generation generally generating generalizing generates generic generations generative generalization generators generically
split,splitting splits
hypercub,hypercube hypercubes
simul,simulation simulate simulated simulations simulating simulants simulator simulates
varieti,variety varieties
scenario,scenarios
mostli,mostly
depend,depended depending dependent dependency dependant depends dependence dependable dependently dependants dependencies
situat,situations situational situated
averag,average averaged averages averaging
need,needed needs needing
come,comes coming
expens,expense expensive expenses
worst-cas,worst-case
termin,terminal terminate termination terminally terminals terminated terminations
margin,marginally margins marginalized
time,times timely timing timed
global,globally globalization globalized
especi,especially
resource-restrain,resource-restrained
middle-incom,middle-income
discourag,discouraged discouraging
reverse-transcript,reverse-transcription
quantit,quantitative quantitatively quantitation quantitate quantitated quantitativeness
wash,washings washed washes
oropharyng,oropharyngeal
absolut,absolute absolutely
quantif,quantification
concentr,concentrations concentrate concentrated concentrating concentrates
slightli,slightly
reliabl,reliable reliability reliably
alway,always
consist,consistent consistently consisting consistence consisted consists consistency
therefor,therefore
ad,added adding ads
elabor,elaborate elaborated elaborates elaboration elaborating
singl,single
depart,department departing departments
select,selected selection selective selectivity selecting selectively selects
minor,minority minorities minors
remain,remains remained remaining
rt-pcr-base,rt-pcr-based
in-hous,in-house
custom,customized customization customer customs customers customizes
sars-cov-2-posit,sars-cov-2-positive sars-cov-2-positives
sars-cov-2-neg,sars-cov-2-negative
furthermor,furthermore
digit,digital digitally digits digitized
environment,environmental
examin,examined examination examining examines examinations examiners
veri,very
downscal,downscaling
surfac,surface surfaces surfacing surfaced
period,periods periodically periodicals
remot,remote remotely
coba,cobas
utilis,utilising utilised utilisation
routin,routine routinely routined routines
outcom,outcomes
concord,concordant concordances
pair,paired pairs pairing
sero-revers,sero-reversion
event,events
necessari,necessary
target,targets targeting targeted targetted targetting
maximis,maximised maximises
confirmatori,confirmatory
ani,any
form,forms forming formed
basi,basis
deploy,deployed deployment deploying deployable deployments
lineag,lineages
variant,variants
chang,changes changed changing
immunodomin,immunodominant
entri,entry entries
angiotensin-convert,angiotensin-converting
mutat,mutations mutates mutated mutational mutating mutationally
recognit,recognition
escap,escape escaped escapes escaping
structure-funct,structure-function
vaccine,vaccinee vaccinees
receptor-bind,receptor-binding
bind,binding binds
monoclon,monoclonal
neutral,neutralization neutralizing neutralized neutralizes neutrality
n501i,n501y
class,classes
offer,offers offering offered offerings
protect,protection protective protected protections protecting protects
decad,decade decades
controversi,controversial controversy controversies
pulmonologist,pulmonologists
uptak,uptake uptakes
physician,physicians
basic,basics basically
failur,failure failures
impact,impacted impacts impacting impactful impaction
economi,economy economies
recogn,recognized recognizing recognizes
polici,policies policy
rate,rates rating ratings rated
heat-inactiv,heat-inactivated heat-inactivation
pellet,pelleted
subject,subjects subjective subjected subjecting
storag,storage
load,loads loading loaded
measur,measured measures measuring measurements measurable measurably
altogeth,altogether
purifi,purified purify purifier purifying
significantli,significantly
switch,switching switched switches
justifi,justified justifying justifiable justifies
doubl,doubled doubling
-associ,-associated
surrog,surrogate surrogates
accordingli,accordingly
suscept,susceptible susceptibility
primer/prob,primer/probe primer/probes
passag,passage passaged passages passaging
inocul,inoculated inoculation inoculating inoculations
isolation-posit,isolation-positive
indic,indicating indicate indices indicated indicative indications indicates indicator indicators
contain,containing containment contains contained containers containments
mean,means meaning
start,starting started starts
crisi,crisis
quantifi,quantify quantified quantifies quantifying quantifiable
mobil,mobility mobilized mobile mobilities mobilization mobilizing
habit,habits habitant
regress,regression regressions
variabl,variables variability variabilities variably
explain,explains explained explaining explainable
jointli,jointly
pollut,pollution pollutants pollutions polluted
temperatur,temperature temperatures
proxim,proximity proximate proximal
area,areas
daili,daily
trip,trips
week,weeks
befor,before
restrict,restrictions restrictive restricted restricting restricts
commonli,commonly
defin,defined defining defines
accord,according accordance
incubation-bas,incubation-based
underestim,underestimated underestimation underestimates underestimating
delay,delays delayed delaying delayers
contribut,contribute contributed contributing contributes contributions
slow,slowing slowed
origin,original originated originally originating origine origins originates
return,returns returning returned
devast,devastating devastated devastation devasting
hydroxychloroquin,hydroxychloroquine
support,supporting supportive supports supported supporters
citi,city cities
abnorm,abnormalities abnormality
arrhythmia,arrhythmias
proport,proportion proportions proportional proportionally
score,scores scoring scored
baselin,baseline baselines
in-hospit,in-hospital
mortal,mortality mortalities
sustain,sustained sustainable sustainably sustainability sustaining sustainment
eighty-nin,eighty-nine
cours,course courses
discontinu,discontinued discontinuing discontinuation discontinuous
prolong,prolongation prolonged prolonging prolongs
thirty-on,thirty-one
supplement,supplemental supplements supplementation supplemented supplementing
co-administr,co-administration
toler,tolerable tolerability tolerated tolerance tolerances tolerant
nearli,nearly
random,randomized randomization randomizing randomizes
sometim,sometimes
culmin,culminating culminated culminates
percentag,percentage percentages
cutan,cutaneous
dermatologist,dermatologists
probabl,probably probability probable probabilities
heavili,heavily
affect,affected affecting affects affective affection affectations
adult,adults
person,personal persons personalized personally personals personalities personality
paediatr,paediatric paediatrics
europ,europe
chilblain-lik,chilblain-like
lesion,lesions lesional
multiform,multiforme
disease-lik,disease-like
inflammatori,inflammatory
multisystem,multisystemic
histolog,histological histology
pre-exist,pre-existing pre-existent
condit,conditions conditional conditionally conditioning conditioned
volum,volumes
provinc,province provinces
festiv,festival festivals
export,exportations exported exporting exports
elderli,elderly
hypertens,hypertension hypertensive
undergo,undergoing undergoes
chemotherapi,chemotherapy
cyclophosphamid,cyclophosphamide
methotrex,methotrexate
vulner,vulnerable vulnerability vulnerabilities
induc,induced induces inducing inducer inducible
chemotherapeut,chemotherapeutic chemotherapeutics
immunosuppress,immunosuppressed immunosuppression immunosuppressive immunosuppressants
maintain,maintaining maintained maintains
balanc,balance balancing balances balanced
clearanc,clearance
immunopatholog,immunopathology immunopathological
pulmonari,pulmonary
complic,complications complicated complicates complicity complicating
malign,malignancy malignancies malignant
toxic,toxicity toxicities
factor,factors factores factored factorization
radiat,radiation radiate
prioriti,priority priorities
small-molecul,small-molecule
biolog,biologics biological biology biologically
mab,mabs
single-ag,single-agent
contagi,contagious contagiousness
claim,claimed claims claiming
live,lives living lived
besid,besides
disrupt,disruptions disruptive disrupts disrupted disrupting
societi,society societies
recommend,recommended recommendations recommends recommending recommendable
progress,progression progressively progressed progressing progresses
triag,triaging triage triaged triages
moderate-to-sever,moderate-to-severe
elimin,eliminating eliminate elimination eliminates eliminated
portabl,portability portable
rel,relatively relatives
tertiari,tertiary
cxr,cxrs
pubm,pubmed
other,others
consolid,consolidation consolidate consolidated consolidations consolidative consolidates
multifoc,multifocal
bilater,bilateral
peripher,peripheral
distribut,distribution distributed distributions distributing
wherea,whereas
compris,comprised comprising comprises
cavit,cavitation
effus,effusion effusions
wors,worse
cross-sect,cross-sectional cross-sections
februari,february
femal,female females
gestat,gestational gestations
conjunct,conjunctivitis conjunction
extrem,extremely extremity extremities extremes
nosocomi,nosocomial
eye,eyes
occup,occupational occupations occupancy occupants occupancies
exposur,exposure exposures
rout,route routes routing
profession,professionals professionally
goggl,goggles
ineffici,inefficient inefficiencies inefficiency
conjunctiv,conjunctival
battl,battling battle
rapidly-spread,rapidly-spreading
resurg,resurgences resurgent
reopen,reopening reopened reopenings
busi,businesses busy
see,seeing
surround,surrounding surrounded surrounds surroundings
eagerli,eagerly
trickl,trickling
federally-mand,federally-mandated
restaur,restaurants
bar,bars
gym,gyms
histori,history histories
except,exception exceptional exceptionally exceptions excepted
lesson,lessons
surviv,survived survival surviving survivability
passiv,passive passivate passively
immunity-bas,immunity-based
cell-bas,cell-based
slow-progress,slow-progressive
link,linked links linking
bacteri,bacterial
neurolog,neurological neurology
disord,disorders disordered
reduc,reduce reduced reducing reduces reducible
kill,killed killing kills
overcrowd,overcrowding overcrowded
hygien,hygiene hygienic
promot,promoting promotes promotion promoted promoter promotions promoters
adher,adhere adherence adherent adhering adhered adheres
precaut,precautions
patholog,pathology pathologies pathological pathologically
similar,similarities similarity
revisit,revisiting revisited
graphic,graphical graphics graphically
oro-nasopharyng,oro-nasopharyngeal
disadvantag,disadvantages disadvantageous disadvantaged
outpati,outpatients
molecular-confirm,molecular-confirmed
repeatedli,repeatedly
salin,saline
fluid,fluids
gene,genes
miss,missing missed misses
distil,distilled
mouth-rins,mouth-rinsing
name,named namely naming names
polymeras,polymerase polymerases
comparison,comparisons
fatal,fatality fatalities
reservoir,reservoirs
extract,extraction extracts extracted extractions extracting extractable
middl,middle
retriev,retrieved retrieval retrieving retriever
specimen-wis,specimen-wise
observ,observed observational observations observable observing observers observables
lavag,lavage lavages
persist,persistently persisting persistence persists persisted persistency
pose,posed poses posing
uniqu,unique uniquely uniqueness
famili,families family familial
haematolog,haematologic haematology haematological
public,publication publicized publications publically
guidelin,guideline guidelines
evidence-bas,evidence-based
relev,relevant relevance relevancy
mayb,maybe
topic,topics topical
concis,concise concisely
shed,shedding sheds
work,working works worked
parti,party parties
oncolog,oncology oncologic oncological
appli,applying applied applies
medicin,medicine medicines medicinal
januari,january
wale,wales
govern,government governments governs governing governance governed
anticip,anticipation anticipated anticipating anticipates
subsequ,subsequently
action,actions actionable
trace,tracing traced traces
genom,genome genomic genomes genomics genomically
context,contexts contexte
provis,provision provisioning provisions
longitudin,longitudinal longitudinally
seropreval,seroprevalence seroprevalance seroprevalences
cluster,clustering clusters clustered
seroposit,seropositive seropositivity seropositivities
novemb,november
wave,waves
keep,keeping keeps
school,schools schooling
environ,environment environments
randomli,randomly
stratifi,stratified stratify stratifying
invit,invited inviting invites invitation invitations
parent,parents parental parenting
questionnair,questionnaires
sociodemograph,sociodemographic sociodemographically sociodemographics
question,questions questioned questionable questioning
june-juli,june-july
october-novemb,october-november
credibl,credible credibility
previous,previously
district,districts
round,rounds rounding
becam,became
seroneg,seronegative seronegativity
newli,newly
varianc,variance variances
logist,logistic logistical logistics
model,models modeling modeled modelling modelled modelers modellers
uncertainti,uncertainty uncertainties
dynam,dynamic dynamics dynamical dynamically dynamism
registr,registration registrations
lack,lacking lacked lacks
safeti,safety
immune-efficaci,immune-efficacy
anticanc,anticancer
propos,proposed proposal proposes proposing proposals
stage,stages staging staged
large-scal,large-scale
weight,weighted weighting weights
adapt,adaptive adapted adaptation adaptability adaptable adapts adaption adaptations adapting adaptiveness adapters adaptively
massiv,massive massively
uncontrol,uncontrolled uncontrollable uncontrollably
damag,damage damaged damages damaging
reduct,reduction reductions
frequenc,frequency frequencies
natur,natural nature naturally
hing,hinges
cytokin,cytokine cytokines
character,characterized characterization characterizing characterizes characterizations characterics
pro-inflammatori,pro-inflammatory
iga-specif,iga-specific
elucid,elucidating elucidate elucidated elucidation elucidates
choos,choosing choose
consult,consultants consultations consulted consulting consultancy consults
interfer,interfere interference interferences interferes
lifecycl,lifecycle
replic,replication replicate replicating replicates replicated replicative replications replicable replicability
immunomodul,immunomodulators immunomodulation immunomodulating
option,options optional
molecul,molecules
virus,viruses
arsen,arsenal
admit,admitted admitting
pattern,patterns patterned
deviat,deviation deviations deviated deviating
lo,los
risk,risks risking risked
underw,underwent
correspond,corresponding correspondent correspondence corresponded correspondences corresponds
experienc,experiencing experienced
prognost,prognostic prognosticate prognostication
verifi,verify verifying verified
belong,belongs belonging belonged
betacoronavirus,betacoronaviruses
close,closely closing closed closeness
bat,bats
pangolin,pangolins
etiolog,etiological etiology etiologies
escal,escalates escalating escalation escalated
ard,ards
anim,animal animals
transmit,transmitted transmits transmitting
droplet,droplets
cough,coughing coughs
sneez,sneezing sneezes
regist,registered registers registering
death,deaths
suffer,suffering suffers suffered sufferers sufferings
immunocompromis,immunocompromised immunocompromising
primarili,primarily
quickli,quickly
